Id,OrderDate,OrderNumber,CustomerId,TotalAmount
1,7/4/2012 12:00:00 AM,542378,85,440.00
2,7/5/2012 12:00:00 AM,542379,79,1863.40
3,7/8/2012 12:00:00 AM,542380,34,1813.00
4,7/8/2012 12:00:00 AM,542381,84,670.80
5,7/9/2012 12:00:00 AM,542382,76,3730.00
6,7/10/2012 12:00:00 AM,542383,34,1444.80
7,7/11/2012 12:00:00 AM,542384,14,625.20
8,7/12/2012 12:00:00 AM,542385,68,2490.50
9,7/15/2012 12:00:00 AM,542386,88,517.80
10,7/16/2012 12:00:00 AM,542387,35,1119.90
11,7/17/2012 12:00:00 AM,542388,20,2018.60
12,7/18/2012 12:00:00 AM,542389,13,100.80
13,7/19/2012 12:00:00 AM,542390,56,1746.20
14,7/19/2012 12:00:00 AM,542391,61,448.00
15,7/22/2012 12:00:00 AM,542392,65,624.80
16,7/23/2012 12:00:00 AM,542393,20,2464.80
17,7/24/2012 12:00:00 AM,542394,24,724.50
18,7/25/2012 12:00:00 AM,542395,7,1176.00
19,7/26/2012 12:00:00 AM,542396,87,364.80
20,7/29/2012 12:00:00 AM,542397,25,4031.00
21,7/30/2012 12:00:00 AM,542398,33,1101.20
22,7/31/2012 12:00:00 AM,542399,89,676.00
23,8/1/2012 12:00:00 AM,542400,87,1376.00
24,8/1/2012 12:00:00 AM,542401,75,48.00
25,8/2/2012 12:00:00 AM,542402,65,1456.00
26,8/5/2012 12:00:00 AM,542403,63,2142.40
27,8/6/2012 12:00:00 AM,542404,85,538.60
28,8/7/2012 12:00:00 AM,542405,49,307.20
29,8/8/2012 12:00:00 AM,542406,80,420.00
30,8/9/2012 12:00:00 AM,542407,52,1200.80
31,8/12/2012 12:00:00 AM,542408,5,1488.80
32,8/13/2012 12:00:00 AM,542409,44,468.00
33,8/14/2012 12:00:00 AM,542410,5,613.20
34,8/14/2012 12:00:00 AM,542411,69,86.50
35,8/15/2012 12:00:00 AM,542412,69,155.40
36,8/16/2012 12:00:00 AM,542413,46,1414.80
37,8/19/2012 12:00:00 AM,542414,44,1452.00
38,8/20/2012 12:00:00 AM,542415,63,2179.20
39,8/21/2012 12:00:00 AM,542416,63,3016.00
40,8/22/2012 12:00:00 AM,542417,67,924.00
41,8/23/2012 12:00:00 AM,542418,66,89.00
42,8/26/2012 12:00:00 AM,542419,11,479.40
43,8/27/2012 12:00:00 AM,542420,15,2169.00
44,8/27/2012 12:00:00 AM,542421,61,552.80
45,8/28/2012 12:00:00 AM,542422,81,1296.00
46,8/29/2012 12:00:00 AM,542423,80,848.70
47,8/30/2012 12:00:00 AM,542424,65,1887.60
48,9/2/2012 12:00:00 AM,542425,85,121.60
49,9/3/2012 12:00:00 AM,542426,46,1050.60
50,9/4/2012 12:00:00 AM,542427,7,1420.00
51,9/5/2012 12:00:00 AM,542428,37,3127.00
52,9/6/2012 12:00:00 AM,542429,67,349.50
53,9/9/2012 12:00:00 AM,542430,49,608.00
54,9/9/2012 12:00:00 AM,542431,86,755.00
